eng,jap
skill,技能、スキル
compliment,賛辞を述べる、ほめる
convention,総会、大会
bear,持つ
temporarily,一時的に
preserve,保護する、保存する
forward,転送する、進める
enough,十分な／十分に
vary,変わる
admission,入場、入場料、入場許可
prohibit,禁じる
distribution,流通、配布、分配
affect,影響する、作用する
take care of ,の世話をする
account,占める、説明する／口座・説明
look up,調べる
reimburse,（払ったお金）を払い戻す
involve,（人を）巻き込む、伴う、含む
except,を除いて、を除外して
finance,資金を調達する、融資する
defend,を（攻撃から）守る、（を）防御する
rely on,に依存する、頼る
proportion,比例、（に対する）割合、比率
expand,拡大する
predict,予測する
alter,変更する、作り変える
proof,証拠、証明
seek,捜し求める
seriously,まじめに、深刻に
accompany,添付する、同行する
vehicle,乗り物、車両
stimulate,刺激する
found,設立する、創立する
reference,照会先、照会、参照
fill out,記入する
determination,決意すること、決断力の強さ
regret,残念に思う、悔いる
acquisition,（企業の）買収、獲得
draw,引く、描く
break,休憩、中断、破壊／を壊す
address,話す、対処する
last,続く、待つ
restrict,を制限する
develop,開発する、発達する
expectation,期待、予想
locate,所在を探し当てる
decade,10年、10年間
prepare,準備する
interest,利子、興味／（人）に興味を持たせる
spread,広げる、掛ける
organize,計画する、組織する
efficiency,効率の良さ
encourage,勧める、促す
challenge,（能力を試される）課題、挑戦
catalog,目録を作る、分類する
electricity,電気、電力
enable,可能にする
foreigh,外国の、異質の
broadcast,放送する
transfer,転勤させる、移す
take over,引き継ぐ
publish,出版する
find,気づく、発見する
operate,操作する、運営する
compete,競争する
suspect,だろうと思う、疑う
explore,探索する、調査する
translate,翻訳する
nominate,ノミネートする
chair,議長を務める、司会する
simplify,を単純化する、簡素化する
administrate,運営する
renew,更新する
polish,磨く
place,置く
contact,連絡をとる
branch,支店
lower,下げる、低くする
tie,結ぶ
paid,有給の、支払い済みの
interview,面接する、会見する
observe,観察する
unfortunately,残念なことに、残念ながら
surround,囲む
conserve,保存する、保護する
rent,家賃／賃貸借する
appeal,懇願する、アピールする
entitle,権利を与える
memo,社内文書
take place,行われる
ease,和らげる、容易にする
luggage,旅行かばん、手荷物
distribute,配布する、分配する
impress,感心する、感動する
editor,編集者
paddle,パドルで漕ぐ
remind,再確認する、思い出させる
exhibition,展示会、展示物、展示
leading,首位の、一流の
organization,団体、会社、組織（化）
limited,限られた
procedure,手続き、手順
experienced,経験豊富な
personnel,社員、人事部
author,著作、作者／（本を）書く
directly,直接に、直行して
expert,専門家／専門的な
mainly,主に
suggestion,提案
supplier,納入業者、供給業者
representative,担当者、代表者
packaging,梱包、パッケージ
description,説明、記述、描写
property,不動産、資産
extension,内線、延長
highly,非常に
assistance,支援、援助
laboratory,研究所、実験室
headquarters,本社
device,機器、装置
intended,意図された、向けられた
brochure,パンフレット
response,返答、返事
region,地域
donation,寄付
quarter,四半期
agreement,契約（書）、同意（書）、合意・協定
potential,見込みがある、潜在的な／可能性
warehouse,倉庫
refund,返金／返金する
immediately,すぐに、即座に
council,議会
responsible,担当している、責任がある
avoid,避ける
effrctive,効果的な
invitation,招待（状）
reduce,（値段を）下げる、減らす
efficient,効率的な
manufacturer,メーカー、製造業者
comfortable,快適な、楽な、自信がある
method,方法
entire,全体の
range,範囲
setting,環境
frequent,頻繁な
promotion,昇進、販売促進
traditional,伝統的な、従来の
fit,合う、入る
arrival,到着
familiar,よく知っている、おなじみの
ideal,理想的な
landscaping,造園
occasion,特別な行事、（何かが起こる）時、好機
standard,基準／標準の
background,経歴、背景
guided,ガイド付きの
advanced,進んだ、上級の、高度な
confident,確信している、自信がある
initial,初めの、当初の
separate,分かれた、別々の／分ける
environment,環境
various,さまざまな
brief,短い、短時間の
full-time,常勤の
overall,全体の／全体として
complex,複合施設、集合住宅／複雑な
delighted,とても喜んでいる
honor,称える、（契約等を）守る／名誉
properly,ちゃんと、適切に
electronic,電子の、電子的な
preparation,準備、用意
duty,任務、職務、関税
willing,することを嫌がらない、する気がある
worth,価値がある
overnight,一晩の、翌日配送の／一晩
particularly,特に
aspect,面、局面
involved,関わった
scholarship,奨学金
shortly,じきに、まもなく
automobile,自動車の／自動車
certainly,確かに
possibly,ひょっとすると、もしかすると
sufficient,十分な、満足な
practical,実用的な、実践的な
sales representaive,販売員、営業担当者
medication,薬、医薬
fulfill,満たす、果たす
reflection,熟考、反射
foundation,土台、基礎
governor,知事
practice,習わし、開業、実施
responsibility,（人や物に対する）責任
impressive,印象的な、素晴らしい
coworker,（仕事の）同僚
excessive,過度の、度を越えた
favorable,好都合の、好意的な
label,にラベル［レッテル］を貼る／ラベル
assess,（価値や重要性）を評価する
institution,機関、団体
awareness,意識、気づいていること
pile,積み重ねた山／を積み重ねる
installation,インストール、取り付け
receipt,レシート、領収書
pharmacy,薬局
railing,手すり、ガードレール
transaction,取引
appropriate,適切な、適した
competitive,競争の、他に負けない、競争力がある
fare,運賃、乗車料金
implement,（計画や政策）を実行する
exclusively,限定で、独占的に
recipient,受領者、受取人
affordable,手頃な価格の、入手可能な
hospitality,おもてなし、接待
wheelbarrow,手押し車
guidelines,指針、ガイドライン
tourism,観光事業、観光客
resource,資源
debate,議論、討論
edition,版
minutes,議事録、分
journey,旅行、行程
bargain,お買い得品、取引
generation,世代、代、同時代
completion,完了、完成
board,板、役員会／登場する
savings,貯蓄、節約
kitchenware,台所用品
ceiling,天井
deposit,頭金、保証金／預け入れる
measure,対策、手段
rate,割合、料金
chief,長、上司
output,生産高、産出
asset,財産、強み
alert,警報、警告／知らせる
drawer,引き出し
packet,小包、袋
productivity,生産性
position,位置、地位、職
wing,ウイング、ビルの一角
envelope,封筒
copy,（本・雑誌などの）冊・部、写し
authority,権限、権威、当局
solution,解決策、解決
official,役人、職員
disease,病気
factor,要因、要素
prospect,見通し、可能性
priority,優先順位、重要なこと
tenant,賃借人、入居者
reservation,予約
slope,坂、斜面
agenda,議題、議事日程
evaluation,評価
lack,不足、欠乏
architect,建築家
secretary,秘書
aisle,通路
medicine,薬
workload,仕事量
negotiation,交渉
faucet,蛇口、注ぎ口
appointment,約束、予約
order,順番、注文
checkup,検査、健康診断
content,内容、中身／満足している
anniversary,周年、記念日
automatically,自動的に
destination,目的地、行き先
economic,経済の、経済上の
extremely,きわめて、非常に
accurate,正確な
aware,気付いて
crowded,混雑した
function,機能／機能する
impact,影響
amazing,驚くべき
popularity,人気
permit,許可証／許可する
crop,作物、収穫量
neighborhood,近所、地域
permanent,常設の、常雇用の、永久の
slightly,わずかに、少し
complicated,複雑な
guarantee,保証する／保証
mechanical,機械の
native,出身の／出身の人
occur,起こる、発生する、行われる
findings,（研究・調査の）結果、わかったこと
exact,正確な
closely,蜜に、注意深く
loyal,忠実な
promising,有望な
commission,委託する、委任する／委員会、歩合
committed,熱心に取り組む、献身的な
comparison,比較
evidence,証拠、証明
border,境、境界線
portrait,肖像画
defect,欠陥、欠点
intersection,交差点
bulletin,掲示、公報
caution,注意、警告
goods,商品
exam,試験
mission,使命、任務
participant,参加者、関係者
aim,目標、狙い／目指す、狙う
wage,賃金、給料
investigation,調査
feature,特集、特徴
takeoff,離陸、出発
statement,明細書、声明
field,分野、競技場
audience,聴衆、観客
adjustment,調整、調節
lighthouse,灯台
remark,言葉、コメント、意見
fountain,噴水
improvement,改善、向上
shelf,棚
item,項目、品物
couple,二つ、一対
reception,歓迎会、パーティー、受領
commuter,通勤者
recession,後退
sealed,密封された
acting,代理の、事実上の
primary,主な、本来の
independent,独立した、自主性のある
capable,能力がある、できる
satisfactory,満足な
physical,身体的な、物質的な
domestic,国内の
functional,機能的な、実用的な
rewarding,やりがいのある、実りの多い
out of order,故障して
whole,全体の
protective,保護用の
seated,座った、座らせられた
athletic,運動好きな、運動選手用の
price,価格、値段／に値段をつける
schedule,を予定する／予定、スケジュール
trustworthy,信頼できる、信用できる
superior,優れた、上等の
registration,登録、記名
specification,仕様書
rejection,拒絶、断ること
preference,好み、希望
transact,（取引、業務など）を行う
target,的、目標／を目標にする
customize,カスタマイズする、特別注文に応じて作る
climate,気候
currency,通貨
matter,重要である／（考慮すべき）事柄
rest,残り、休み／休む
landscape,景観、地形
approximately,おおよそ
nervous,緊張した、神経質な
respect,を尊敬する／への尊敬
material,原料、素材
no later than ,遅くとも
publicly,公的に、公然と
expertise,専門知識
regardless of ,にかかわらず
plenty of ,たくさんの
copyright,著作権
statistics,統計
revise,を修正する、改訂する
sustainable,持続可能な、維持できる
participation,参加、加入
credit,（人の）称賛、名声、信用
withdraw,撤収する、下ろす、取り下げる
sort,を分類する／種類
sharp,鋭い、（頭が）さえる
political,政治的な、政治の
take advantage of ,を上手く利用する
in spite of ,にもかかわらず
artifical,人工的な、作り物の
active,活動的な、活発な
allocate,割り当てる
activate,を始動・稼動させる
relocate,移転させる、引っ越す
assembly line,（工場の）組み立てライン
unfortunate,不運な
reasonable,手頃な、妥当な
original,元の、最初の
absent,欠席の、不在の
numerous,たくさんの
grateful,感謝している
total,全部の、総計の
disappointing,期待外れの、がっかりさせるような
rare,まれな、珍しい
spacious,広々とした、ゆったりとした
random,無作為の、任意の
challenging,困難だがやりがいのある、意欲をかきたてる
due,期限の
valued,重要な、高く評価された
slanted,傾斜した、斜めの
broad,広い
distinct,はっきり異なる、独特な
casual,時々の、偶然の、カジュアルな
unlikely,しそうもない、ありそうもない
organized,組織化された、有能な
convenient,都合のよい、便利な
equal,同じ、平等な
luxury,豪華な、ぜいたくな
yearly,年1回の、毎年の
timely,タイミングの良い、タイムリーな
fixed,固定した、一定の
severe,深刻な、厳しい
besed,基づいた
substantial,かなりの、実在する
personal,個人的な
narrow,狭い、細い
patterned,模様のついた
further,さらなる、さらに遠い
promotional,販売促進の
thorough,徹底的な、完璧な
close,近い
prompt,迅速な
minimum,最小限の、最低限の
furnished,家具付きの
fundamental,基本の、基礎の
welcome,歓迎される、自由にしてよい
desirable,望ましい、魅力的な
weekly,週に一度の
stable,安定した
in-house,社内の、内部の
private,少人数の、個人の
effective,効果的な
innovative,革新的な
memorable,記憶に残るような、印象的な
amusing,面白い、楽しい
dependable,信頼できる
select,を選び出す
probability,確率、可能性、見込み
remenber,を覚えている、を思い出す
feel free to ,自由にする
expiration,期限切れ、（契約などの）終了
creative,創造力のある
positive,前向きな、肯定的な
applcation,申し込み、応用
experience,経験／を経験する
qualify,資格を得る、に資格を与える
applicant,志願者、応募者
familiarize,慣らす、習熟させる
outfit,装備する
catering,仕出し、出前、ケータリング
serve as,としての機能を果たす
stem,起因する
neglect,を怠る、放置する
wildlife,野生動物
inclined to,する傾向がある
put off,延期する
precede,先行する
assign,割り当てる、任命する
specify,明記する
complement,合う、補完する
enforce,施行する、実行する
banquet,夕食会、宴会
rinse,すすぐ
audit,会計監査する
keep up with,遅れないようについていく
valid,有効な
upgrade,品質（性能）を良くする／改良
capture,記録する、捉える
fasten,結ぶ、留める
certificate,認定証、修了証
consume,消費する
integrate,統合する
admit,を認める、入院させる
orientation,新入社員向け説明会
house,収容する
compensate,補償する
remodel,改築する
ingredient,（料理の）材料
attend to,対応する
drop off,を（車から）降ろす
look into,吟味する、詳しく調べる
storage,保管、貯蔵
commend,ほめる
commence,始まる
redeen,を回復する、取り戻す、を現金に換える
beverage,飲料
acquire,買収する、得る、獲得する
mount,取り付ける、登る
execute,実行する
prior,前の
dissolve,溶ける
consult,相談する
escort,付き添う、送り届ける
merger,合併、統合
cite,引用する、引き合いに出す、言及する
screen,選別する
inherit,引き継ぐ
inn,宿、ホテル
engage,参加する、従事する
specialize,専門にする
acknowledge,知らせる、認める
equip,備え付ける、装備する
expire,期限が切れる
invert,逆にする
enlarge,拡張する、増築する
lease,賃貸借（契約）／賃貸借する
discontinue,生産や販売の継続を止める
refrain,やめる、差し控える
modify,修正する
defective,欠陥のある、不良の
dispose,処分する
recruit,採用する
interfere,妨害する
quarterly,年に4回の、四半期ごとの／年に4回
convert,改造する、変える
revolve,循環する、展開する
overwhelm,圧倒する
extended,長期の、長時間の
strive,努力する
furnish,備え付ける
take on,引き受ける
sue,を訴える
fold,折りたたむ
absord,吸収する、理解する
resign,辞職する
install,インストールする
condense,濃縮する、要約する、短縮する
attribute,起因すると考えられる、おかげであるとする
recall,思い出す、回収する
impose,課す、負わせる、強制する
grocery,食品雑貨の／食品雑貨
sculpture,彫刻
itinerary,旅程表
directory,名簿、住所録
assume,引き受ける、思い込む、仮定する
withstand,耐える
vendor,業者、露天商、販売店
detect,見つける、検知する
leak,漏れる
inhabit,住む
patron,愛用者、利用者
transmit,伝達する
compose,構成する、組織する
motivate,やる気を与える、動機付けする
concentrate,集中する
clarify,明らかにする、はっきりさせる
tackle,取り組む
payroll,給与、給与管理、賃金台帳
resist,耐性をもつ、抵抗する
retain,保管する、持ち続ける
disrupt,混乱させる
lead to,もたらす
distinguish,区別する
draw up,作成する
questionnaire,アンケート
subsidize,助成金を払う
accumulate,蓄積する、積み上げる
compile,取りまとめる、編集する
strategy,戦略
dispatch,派遣する
conclude,終わる、終える、結論を出す
reverse,逆にする、くつがえす
dedicated,献身的な、専用の、特化した
revitalize,活性化する
undertake,引き受ける
assert,断言する、主張する
exceptional,並外れた、非常に素晴らしい
surpass,超える
diagnosis,診断
sidewalk,歩道
luncheon,昼食会
faculty,教授陣、学部
biography,伝記
obligation,義務
household,家庭用の／家庭
cuisine,料理
conflict,対立、衝突
precaution,予防策、予防措置
circulation,発行部数、流通、（図書館の）貸出
maintenance,管理、維持
digit,桁
projection,予測
relevant,関連した
compensation,報酬、補償
detergent,洗剤
engagement,約束
accommodations,宿泊施設
patent,特許
assortment,詰め合わせ、分類
destruction,破壊、倒壊
flexible,柔軟な、フレキシブルな
recognition,推薦、認識、評価
confines,範囲、制約
blueprint,設計図、青写真
accessible,到達できる、利用できる
moisture,湿気
paycheck,給料支払い小切手
TOEIC800点突破の300語｜レベルA（860点）を攻略する単語一覧politician,政治家
afterwards,その後で
wholesale,卸売りの
inclusive,すべてを含んだ、含めて
generally,おおむね、通常、一般的に
regional,地域の
subsequent,それに続く
costly,費用のかかる、高価な
occupied,（部屋、座席、ベッド等が）使われている
knowledgeable,知識豊富な
confidential,機密の、秘密の
in question,問題になっている
circumstance,状況
abundant,豊富な、十分な
considerate,思いやりがある、理解がある
splendid,素晴らしい
panel,グループ、パネル
doubtful,疑わしい
proficient,堪能な、熟達した
noticeable,容易に気付く
portion,部分、一人分の食事
prospective,見込みのある、将来の
last-minute,間際での
immense,非常に大きな、巨大な
commonly,一般に、通常、ふつうに
agreeable,快適な、心地良い
evident,明らかな
prsuasive,説得力のある
securely,しっかりと、安全にlumber材木、製材
noted,有名な
unpredictable,予測できない、法外な
conscious,意識している、自覚している
timeline,予定表
demanding,要求の厳しい
simultaneous,同時に起こる
tidy,きちんとした、整頓された
diverse,多種多様な、たくさんの種類の
outdated,時代遅れの
pilot,試験的な
beneficial,有益な
essential,最も重要な、必要不可欠な、本質的な
aggressive,攻撃的な、積極的な
majority,大多数、大部分
adjacent,に隣接した
joint,合併の、共同の
prestigious,権威のある、誉れ高い
liable,責任を負った
vast,非常に大きな、莫大な
investigate,調査する
subtle,気付きづらい、見つけにくい
inactive,怠惰な、活動していない
neighboring,近隣の
situated,位置している
inevitable,避けられない
picturesque,絵のように美しい
superb,素晴らしい
considerably,かなりadhere忠実である、実行する、接着する
fragile壊れやすい,managerial
minimal,最小の
inclement,荒れ模様の、厳しい
eliminate,取り除く、排除する
municipal,地方自治体の
legible,判読できる
exhausted,疲れ切った
preliminary,仮の、暫定の、本番前の
thrilled,とてもわくわくして、大喜びした
external,外の、外面の
allowable,許される、許容できる／手当、許容量
sophisticated,洗練された、高性能の
revolutionary,革命的な
informative,有益な
compulsory,義務的な
vacant,空の、空いた、欠員の
designated,指定された
horizontal,水平の
entertaining,おもしろい、愉快な
ordinary,普通の、通常の
permissible,許容される、容認できる
identical,同一の
tentative,暫定的な
fame,名声
profound,深遠な
unanimous,満場一致の
ceremonial,儀式上の、形式的な
modest,少しの、高価ではない、謙虚な
notable,注目すべき、有名な
authentic,本物の
genuine,本物の
remote,人里離れた、可能性が低い
premier,最高の、トップの
embarrassing,恥ずかしい
dental,歯科の
reveal,明らかにする
utmost,最大限の、これ以上ない
certified,有資格の、公認の
competent,有能な
crucial,非常に重要な
vertical,垂直な
automated,オートメーション化された
variable,変えられる
distinguished,際立って優れた、傑出した
shorthanded,人手が不足して
wasteful,無駄の多い
inferior,劣っている
disturb,邪魔する、悩ませる
suited,適任である
hourly,1時間単位の
arbitrary,恣意的な、任意の
objective,目的、目標
unfavorable,否定的な
endangered,絶滅の危機に瀕した
delicate,細心の注意を要する、デリケートな
steadily,着実に
preferable,望ましい
negotiable,交渉可能な
apparent,明らかな、明白な
adequate,（要求を満たすのに）十分な、適切な
on-site,社内の、現場の
adverse,良くない、不利な、逆の
ancient,古代の、大昔の
beforehand,あらかじめ、事前に
conservative,保守的な
concise,簡潔な
steep,大幅な、急な
endeavor,努力、試み／努力する
continuous,連続の
suspicious,不審な
vital,重要な、不可欠な
reluctant,気が進まない
conventional,従来型の、型にはまった
detailed,詳細な
inspiring,やる気が出るような、活気づける
remarkable,驚くべき、注目すべき
regrettable,残念な
countless,数え切れないほどの、無数の
mutual,共通した、相互の
adapt,適応する、適応させる、改作する
intensive,集中的な
unforeseen,想定外の
enthusiastically,熱心に
ambitious,意欲的な、野心的な
rather,よりむしろ
in conjunction with,と関連して
barely,かろうじて、やっと
strikingly,著しく
aboard,船に乗って
voluntarily,自発的に、自主的に
independently,単独で、独立して
in writing,書面で
thus,このようにして、したがって
premium,保険料
tutorial,指導書、個別指導
discard,捨てる
overwhelmingly,圧倒的に
novice,初心者
anecdote,逸話
fertilizer,肥料
proofread,校正する
incorporate,取り入れる、組み込む
surplus,余分な／余り
aspiring,志望の、になろうとする
assorted,詰め合わせの
interoffice,社内の、オフィス間の
mutually,互いに、相互に
periodically,定期的に
obstruct,（通路や視界を）ふさぐ、さえぎる
fierce,熾烈な、荒々しい
solely,唯一、一人で、単独で
devise,考案する、立案する
foster,促進する、養う
insight,洞察、洞察力
hypothesis,仮説
predecessor,前任者、前機種
adoption,採用
heritage,伝統、遺産
accelerate,加速させる、拍車をかける
outage,停止
condiment,調味料
appraisal,査定、評価
detour,迂回路
distraction,気を散らすもの、注意の妨げになるもの
newlywed,新婚者
association,協会
deduct,控除する
delegation,代表団、委譲
synthetic,合成の
proceeds,収益
query,質問、疑念
patiently,根気よく、我慢強く
resumption,再開、回復
ratio,比率
turnover,離職率
qualification,資格
dietary,食事の
objection,反対
persuasive,説得力のある
masterpiece,名作
outing,外出、ピクニック
vessel,船
respondent,回答者
quota,販売ノルマ
conjecture,推測、憶測
subsidy,補助金、助成金
innovation,革新
sequence,連続、順番
affiliation,提携
keynote,基調となる
lasting,耐久性のある、長続きする
feasible,実現可能な
insightful,洞察的な
duplicate,複製の、二重の
provisional,仮の、暫定的な
preparatory,予備的な
ethical,論理的な
consistant,一致した、一貫性のある
nutritious,栄養豊かな
hazardous,危険な
devoted,献身的な
sensitive,機密の
lucrative,儲かる、利益の上がる
nominal,僅かな
interpersonal,対人の、人と人との間の
widespread,普及した、広く行き渡った
misleading,誤解を招く
inaugural,就任の、最初の
affluent,裕福な
high-profile,人目を引く
versatile,多才な
up-to-date,最新の
intact,損傷のない
congested,混雑した
conditional,条件とする
fluorescent,蛍光色の
flawless,欠点のない
prosperous,繁栄している、裕福な
hostile,敵対的な
poised,態勢が整った
ambiguous,あいまいな
conclusive,決定的な
probationary,試用期間中の
successive,連続する
serial,連続する
repetitive,反復的な
transparent,透明な
applicable,適用される、あてはまる
skilled,熟達した
sleek,流線型の
stranded,立ち往生した
classified,分類された
sturdy,頑丈な、丈夫な
labor,（肉体的な）労働
explain,説明する
experiment,実験、試み／実験する
find out,発見する、気がつく
payment,支払い
relatively,相対的に、比較的
recognize,認める、見分ける、認識する
individual,個人の、個別の／個人
contribute,貢献する、寄付する
budget,予算／予算に計上する
allow,許す、可能にする
demonstrate,実演する、明示する
exchange,交換する、両替する
application,応募書類、応募、申請
survey,調査／を調査する
obey,従う
reward,報いる、ほうびを与える／報酬、ほうび
prefer,の方を好む
contract,契約、契約書
agency,代理店、取扱店、機関
double,2倍になる、倍増する
release,発表する、発売する
management,経営（陣）、管理
financial,金銭上の、財政の、お金の
relax,ゆるめる、和らげる
profitable,もうかる、利益になる
hire,を雇う、賃借りする
performance,業績、仕事ぶり、性能、公演
charge,を請求する、を充電する／料金、責任
graduate,卒業する
reschedule,予定を変更する
postpone,延期する
pleased,喜んで、満足して
argue,議論する、口論する
lead,を導く
document,記録する、文書を提供する／文書
confirm,確認する
illustrate,説明する、図解する
recommend,推薦する
award,賞／授与する
examine,詳しく調べる、吟味する
propose,提案する、申し出る
clothing,衣類
pick up,を車で拾う、迎えに行く、受け取る
carry,扱う、運ぶ、所有する
display,展示／展示する
conduct,を行う、導く、実行する、実施する
represent,代表する
candidate,候補者
exclude,を除く、排除する
possess,所有する
exhibit,展示物、展示会／展示する
invest,投資する、注ぎ込む
overlook,見逃す
session,時間、集まり
purchase,購入する／購入品
transform,変える、変容させる
note,注意する、述べる／メモ
ship,出荷する、発送する
dispute,異議を唱える
process,処理する／プロセス、過程、処理
simulate,まねる、模倣する
apply,応募する、応用する
instruction,説明書、説明、指示
report,報告する、直属する
membership,会員、会員資格、会員数
based,拠点のある、基づく
advance,先行した、事前の／進歩、前進
committee,委員会
successful,成功した、うまく行く
excellent,素晴らしい
industry,産業、業界
fee,料金
accept,受け入れる、受け付ける
upcoming,今度の
latest,最新の
submit,提出する
transportation,輸送手段
résumé,履歴書
executive,重役、取締役／重役（用）の、高級な
previous,前の、以前の
proposal,提案、提案書
supply,必需品／供給する
enclose,同封する、囲む
policy,規定、方針
register,登録する／レジ
arrange,手配する、並べる
bill,請求書、紙幣／請求書を送る
approve,承認する、賛成する
opportunity,機会、チャンス
deadline,締め切り、期限
corporate,企業の、法人の
warranty,保証、保証書
necessary,必要な
reserve,予約する、確保する／蓄え
resident,住民、住人
create,創造する、作り出す
mention,述べる、言及する／言及
appreciate,感謝する、高く評価する
replacement,交換、交換品、後任
significant,かなりの、大幅な、重要な
employer,雇用主
valuable,貴重な
profitability,利益率、利益性
publication,出版物
customer,顧客、客
stock,株式、在庫（品）／（物）を蓄える
information,情報、インフォメーション
downtown,中心街の／中心街に［で］／中心街
treat,を取り扱う、処理する
graduation,卒業（式）
emphasize,を強調する
corporation,法人
regarding,に関して
article,記事、（契約書など）の条項、品物
renovate,改装する、修理する
prevent,防ぐ、阻む
contain,含む、所有する
considerable,（量や程度が）かなりの
sign up for,申し込む
reduction,減少、削減
delay,遅らせる、延期する
remain,残る、そのままでいる
fix,を修理する、を固定する
negotiate,交渉する、協議する
solve,を解く、解決する
pass out,配る
consecutive,連続した
print,活字体で書く
authorize,公認する、権限を与える
counsel,助言する、相談する
reflect,映し出す、反射する
achievement,成果、業績
advise,助言する、意見する、忠告する
damage,損害／に損害を与える
adjust,調整する
appliance,電化製品
improve,改善する
estimate,見積もり／を見積もる
prove,わかる、証明する
rank,位置する
feedback,フィードバック、反応
datermine,決定する、決意する
analysis,分析
hesitate,ためらう、躊躇する
selection,選ぶこと、選択
vote,投票する、票決する
ladder,はしご
object,反対する、異議を唱える
retire,退職する、引退する
status,状況、地位
fuel,燃料
nearly,ほとんど、もう少しで
cafeteria,社員食堂
determine,決定する、判断する、決心する
crew,乗務員、乗組員
raise,を引き上げる、を持ち上げる
finally,ついに、最終的に
because of ,のせいで、のおかげで
important,重要な、重大な
suitable,適した、ふさわしい
qualified,資格条件を満たした
coordinate,（複数の人や物）をまとめる、調整する
medical,医療の
boost,を強化する、増加させる
gain,を得る、獲得する／利益、得ること
constructive,建設的な、前向きな
resolve,解決する
reason,理由、動機
export,輸出／を輸出する
attempt,試み／を試みる
alternative,代わりの／代案、選択肢
consumer,消費者
implication,影響、暗示、言葉の意味合い
inovolve,を伴う、（人）を巻き込む
grant,（権利など）を与える／助成金
tip,アドバイス、秘訣
operation,操作、運転、事業
figure,数字、人物
enthusiasm,熱中、熱狂
imply,ほのめかす、暗示する
general,全般的な、一般的な
settle,解決する
correspondence,（文書などの）やりとり、通信
point out,指摘する
possibility,可能性
